,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:GSBRNA2T00054452001_BnaAnng22310D,18.16630024,1.14622119,0.552446091,2.074810936,0.038004061,0.787233567
gene:GSBRNA2T00055921001_BnaC03g27680D,157.5976973,1.143924479,0.229599889,4.982251875,6.28E-07,0.000218662
gene:GSBRNA2T00001934001_BnaA06g35280D,58.59432427,1.139376948,0.33388069,3.412527232,0.000643635,0.059418892
gene:GSBRNA2T00055196001_BnaA09g45840D,75.37632043,1.133023782,0.281695076,4.022163964,5.77E-05,0.00862358
gene:GSBRNA2T00091491001_BnaCnng64790D,16.39078737,1.126720318,0.540242728,2.085581645,0.037016535,0.782464757
gene:GSBRNA2T00077525001_BnaA05g15400D,176.4098822,1.123267284,0.258910449,4.338439369,1.43E-05,0.002947416
gene:GSBRNA2T00035161001_BnaA02g23800D,37.36431133,1.122060933,0.375734404,2.986314056,0.002823625,0.169443914
gene:GSBRNA2T00109536001_BnaC09g02520D,26.44419828,1.119777457,0.49216314,2.275216012,0.022892975,0.629580758
gene:GSBRNA2T00031445001_BnaC07g33110D,19.03833816,1.119491537,0.540968859,2.069419558,0.038506733,0.789017765
gene:GSBRNA2T00055202001_BnaA09g45890D,16.89249474,1.114099511,0.562855275,1.979371183,0.047774231,0.863685135
gene:GSBRNA2T00151504001_BnaA03g24780D,33.13642578,1.113041414,0.425563695,2.615451992,0.008910945,0.347894165
gene:GSBRNA2T00001470001_BnaA02g06450D,17.78842399,1.107890086,0.506717667,2.186405089,0.028785982,0.7027352
gene:GSBRNA2T00017361001_BnaCnng29140D,79.2215861,1.099002556,0.263074786,4.177529029,2.95E-05,0.005179307
gene:GSBRNA2T00115214001_BnaC04g25440D,67.16706367,1.097917355,0.316251264,3.471661552,0.000517248,0.049446975
gene:GSBRNA2T00156174001_BnaA06g05440D,15.57495192,1.095552796,0.548470346,1.997469515,0.045774203,0.842560199
gene:GSBRNA2T00003557001_BnaC03g77410D,31.29891579,1.095149696,0.423700506,2.584725959,0.009745642,0.368934958
gene:GSBRNA2T00050980001_BnaC09g53210D,19.2616202,1.094710774,0.499084747,2.193436646,0.028275934,0.696694882
gene:GSBRNA2T00128466001_BnaA07g07000D,24.95144082,1.093617027,0.45899943,2.382610858,0.017190355,0.527721206
gene:GSBRNA2T00076991001_BnaA04g20450D,41.95763999,1.091328948,0.363729064,3.00038973,0.002696344,0.163197395
gene:GSBRNA2T00139098001_BnaA03g20010D,40.15922266,1.090491076,0.41223941,2.645285843,0.008162193,0.328957623
gene:GSBRNA2T00126205001_BnaA04g02560D,82.52602946,1.084727272,0.308766871,3.513094743,0.00044292,0.043900534
gene:GSBRNA2T00126787001_BnaA08g10060D,38.59237319,1.081956676,0.436714606,2.477491389,0.01323096,0.444310063
gene:GSBRNA2T00156799001_BnaC04g21200D,28.86573165,1.074392397,0.395338357,2.717652811,0.006574679,0.291047205
gene:GSBRNA2T00003455001_BnaAnng33740D,102.3785258,1.070711066,0.229146552,4.672603874,2.97E-06,0.000791343
gene:GSBRNA2T00066703001_BnaA03g13170D,29.71939145,1.070464835,0.471231677,2.271631741,0.023108762,0.632027268
gene:GSBRNA2T00143430001_BnaA02g01220D,37.65255481,1.069577034,0.427677563,2.500895827,0.012387961,0.427820126
gene:GSBRNA2T00088541001_BnaA02g08270D,33.89401909,1.068649915,0.427309879,2.500878095,0.012388581,0.427820126
gene:GSBRNA2T00152777001_BnaC04g07010D,25.5221818,1.061617452,0.523067786,2.029598228,0.042397395,0.815790962
gene:GSBRNA2T00098535001_BnaA07g14750D,15.87267371,1.061401324,0.525244877,2.020774255,0.043303139,0.823001019
gene:GSBRNA2T00055421001_BnaA02g30740D,65.88504612,1.059596335,0.396255596,2.674022387,0.007494745,0.315258514
gene:GSBRNA2T00079053001_BnaC03g21940D,56.48736488,1.057313791,0.355472229,2.974392103,0.002935697,0.173375608
gene:GSBRNA2T00042960001_BnaA06g14170D,27.94754488,1.05078341,0.436579743,2.406853335,0.01609063,0.504251961
gene:GSBRNA2T00047880001_BnaA10g13110D,77.05322925,1.049905339,0.371853948,2.823434698,0.00475121,0.234002153
gene:GSBRNA2T00084285001_BnaAnng29840D,42.14808549,1.047751136,0.410892802,2.549937916,0.01077421,0.393937339
gene:GSBRNA2T00102801001_BnaA08g21450D,228.7288346,1.044853002,0.192975049,5.414446101,6.15E-08,3.53E-05
gene:GSBRNA2T00078034001_BnaA06g33030D,246.010683,1.040617769,0.196819073,5.287179499,1.24E-07,5.99E-05
gene:GSBRNA2T00117592001_BnaC02g37400D,25.34970033,1.040344915,0.47272614,2.2007349,0.027754797,0.689408119
gene:GSBRNA2T00112299001_BnaA07g11080D,538.0879214,1.037829423,0.158328472,6.554913414,5.57E-11,1.43E-07
gene:GSBRNA2T00077522001_BnaA05g15380D,310.3498561,1.036628645,0.185795463,5.579407733,2.41E-08,1.76E-05
gene:GSBRNA2T00135967001_BnaA10g22470D,36.4221955,1.036065,0.389684805,2.658725687,0.00784368,0.323099825
gene:GSBRNA2T00135742001_BnaA10g20610D,89.50642206,1.032107473,0.357145714,2.889877805,0.003853916,0.204993503
gene:GSBRNA2T00133420001_BnaC07g30860D,22.74428681,1.03091787,0.490299859,2.102627301,0.035498361,0.771709904
gene:GSBRNA2T00087856001_BnaC05g18920D,51.10219913,1.030689686,0.326372516,3.158016176,0.001588467,0.113464495
gene:GSBRNA2T00038745001_BnaA07g04760D,139.0441314,1.029080542,0.219767765,4.682581817,2.83E-06,0.000770653
gene:GSBRNA2T00096241001_BnaC07g47890D,139.0441314,1.029080542,0.219767765,4.682581817,2.83E-06,0.000770653
gene:GSBRNA2T00073252001_BnaC05g43410D,62.14932735,1.028448688,0.319392696,3.220013168,0.001281847,0.097848936
gene:GSBRNA2T00075176001_BnaC04g22420D,193.2000801,1.028189604,0.183929407,5.590131679,2.27E-08,1.75E-05
gene:GSBRNA2T00047517001_BnaA02g34070D,282.7616751,1.028116302,0.225202377,4.565299505,4.99E-06,0.001232352
gene:GSBRNA2T00132092001_BnaC06g19170D,39.77268815,1.026293967,0.390000835,2.631517356,0.008500453,0.337798869
gene:GSBRNA2T00116568001_BnaA02g14960D,288.0595105,1.024840315,0.208753325,4.909336483,9.14E-07,0.000299602
gene:GSBRNA2T00101326001_BnaC01g34080D,354.657389,1.01891362,0.217724185,4.679836639,2.87E-06,0.000776911
gene:GSBRNA2T00155209001_BnaC04g46440D,42.78609428,1.01857724,0.367705573,2.770089208,0.005604094,0.260166023
gene:GSBRNA2T00046708001_BnaCnng47320D,542.2865264,1.018451287,0.191320189,5.323281829,1.02E-07,5.26E-05
gene:GSBRNA2T00036803001_BnaC06g12270D,98.60864488,1.018399019,0.259016396,3.931793647,8.43E-05,0.01177726
gene:GSBRNA2T00108565001_BnaC05g22700D,32.12136923,1.014669784,0.463342909,2.189889528,0.02853225,0.699881715
gene:GSBRNA2T00075755001_BnaA01g17800D,54.66499335,1.013822414,0.34444896,2.943316811,0.003247159,0.185763666
gene:GSBRNA2T00078197001_BnaA09g42660D,76.16536741,1.013638063,0.307225097,3.299333531,0.000969147,0.079052709
gene:GSBRNA2T00128425001_BnaA07g06710D,23.56610716,1.01078624,0.457634553,2.208719234,0.027194176,0.682761714
gene:GSBRNA2T00076523001_BnaUnng02910D,109.7418753,1.009624496,0.247011093,4.087365003,4.36E-05,0.006951448
gene:GSBRNA2T00149123001_BnaA04g01770D,44.47761411,1.006926837,0.359102674,2.804008187,0.005047162,0.243291301
gene:GSBRNA2T00037909001_BnaAnng18600D,54.91228126,1.005155977,0.323326289,3.108797554,0.001878504,0.127928364
gene:GSBRNA2T00122054001_BnaA09g50420D,30.81061072,1.004517615,0.442111659,2.272090305,0.023081057,0.632027268
gene:GSBRNA2T00074820001_BnaCnng59240D,66.51095409,1.004501504,0.313123495,3.208004255,0.001336595,0.100973154
